issue_key,summary,issue_type,epic_id,sprint_id,story_points,status,assignee,assignee_role,priority,created_at,updated_at,blocked_by
NOVA-2055,Add startup-time and frame-drop metrics to telemetry,Task,EPIC-104,S04,3,Done,Tom Nguyen,QA,Medium,2026-04-26,2026-05-07,
NOVA-2056,Implement offline browsing for recently viewed products,Story,EPIC-104,S04,5,Done,Devon Park,Frontend,Medium,2026-04-11,2026-05-02,NOVA-2058
NOVA-2057,Compress API payloads with brotli on mobile endpoints,Story,EPIC-104,S04,3,Done,Devon Park,Frontend,Medium,2026-04-13,2026-05-06,
NOVA-2058,Adopt incremental rendering for the home feed,Story,EPIC-104,S04,5,Done,Tom Nguyen,QA,Medium,2026-04-06,2026-05-08,
NOVA-2059,Add release-health dashboard with crash-free sessions,Task,EPIC-106,S04,3,Done,Tom Nguyen,QA,Low,2026-04-22,2026-05-07,
NOVA-2060,Wire deploy markers into dashboards,Task,EPIC-106,S04,2,Done,Tom Nguyen,QA,Low,2026-04-21,2026-05-09,NOVA-2005
NOVA-2061,Add order review step with editable line items,Story,EPIC-101,S05,5,To Do,Grace Okafor,Design,Critical,2026-04-20,2026-05-24,
NOVA-2062,Fix cart total mismatch when promo code is removed after login,Bug,EPIC-101,S05,3,In Progress,Devon Park,Frontend,Medium,2026-05-02,2026-05-24,
NOVA-2063,Fix focus trap in the shipping address modal on Safari,Bug,EPIC-101,S05,2,Blocked,Elena Petrova,Frontend,Critical,2026-04-21,2026-05-24,NOVA-2062
NOVA-2064,Accessibility pass for checkout (WCAG 2.1 AA),Story,EPIC-101,S05,5,Done,Tom Nguyen,QA,Low,2026-04-23,2026-05-22,
NOVA-2065,Add structured logging to the payment orchestration service,Task,EPIC-102,S05,3,Blocked,Tom Nguyen,QA,High,2026-04-26,2026-05-24,NOVA-2067
NOVA-2066,Build webhook reconciliation job for missed payment events,Story,EPIC-102,S05,5,Done,Marcus Webb,Backend,High,2026-04-27,2026-05-24,
NOVA-2067,Spike: evaluate payment gateway SDK v3 migration effort,Spike,EPIC-102,S05,2,In Progress,Tom Nguyen,QA,Medium,2026-05-02,2026-05-24,
NOVA-2068,Implement circuit breaker around the fraud-scoring service,Story,EPIC-102,S05,5,In Progress,Priya Sharma,Backend,Low,2026-04-30,2026-05-24,
NOVA-2069,Fix currency rounding mismatch on multi-currency refunds,Bug,EPIC-102,S05,3,Done,Tom Nguyen,QA,High,2026-05-03,2026-05-16,
NOVA-2070,Hardening: ship learning-to-rank model v1 for top queries,Story,EPIC-103,S05,8,Done,Marcus Webb,Backend,Medium,2026-05-02,2026-05-22,
NOVA-2071,Hardening: build offline evaluation harness with judged query set,Task,EPIC-103,S05,3,Done,Tom Nguyen,QA,Medium,2026-05-03,2026-05-22,
NOVA-2072,Hardening: implement autocomplete with popularity-weighted suggestions,Story,EPIC-103,S05,5,Done,Tom Nguyen,QA,Medium,2026-04-22,2026-05-24,
NOVA-2073,Fix crash on device rotation during checkout,Bug,EPIC-104,S05,2,Done,Devon Park,Frontend,High,2026-04-28,2026-05-20,
NOVA-2074,Fix memory leak in product image carousel,Bug,EPIC-104,S05,3,Done,Elena Petrova,Frontend,Critical,2026-05-10,2026-05-22,NOVA-2001
NOVA-2075,Fix ANR when opening notifications with deep links,Bug,EPIC-104,S05,2,In Progress,Tom Nguyen,QA,High,2026-04-30,2026-05-24,
NOVA-2076,Fix janky scroll on search results with many badges,Bug,EPIC-104,S05,3,In Progress,Devon Park,Frontend,Critical,2026-05-05,2026-05-24,
NOVA-2077,Fix white flash when switching tabs on Android 14,Bug,EPIC-104,S05,2,Done,Tom Nguyen,QA,High,2026-04-25,2026-05-18,
NOVA-2078,Hardening: roll out distributed tracing across checkout and payments,Story,EPIC-106,S05,5,Done,Lukas Braun,DevOps,Low,2026-04-29,2026-05-19,
NOVA-2079,Set up A/B experiment scaffolding for one-page vs stepped flow,Task,EPIC-101,S06,3,Blocked,Elena Petrova,Frontend,High,2026-05-14,2026-06-07,NOVA-2049
NOVA-2080,Localise checkout copy and error states for DE and FR markets,Story,EPIC-101,S06,5,To Do,Devon Park,Frontend,Critical,2026-05-16,2026-06-07,
NOVA-2081,Fix duplicate order confirmation emails on slow connections,Bug,EPIC-101,S06,3,In Progress,Tom Nguyen,QA,High,2026-05-05,2026-06-07,
NOVA-2082,Rebuild refund pipeline with async status tracking,Story,EPIC-102,S06,8,Done,Priya Sharma,Backend,Low,2026-05-16,2026-06-06,
NOVA-2083,Add payment-failure runbook and alerting thresholds,Task,EPIC-102,S06,3,Done,Tom Nguyen,QA,High,2026-05-24,2026-06-06,
NOVA-2084,Implement partial capture support for split shipments,Story,EPIC-102,S06,5,Done,Marcus Webb,Backend,High,2026-05-18,2026-05-30,
NOVA-2085,Fix stale prices in search results after flash-sale start (recurrence),Bug,EPIC-103,S06,2,Done,Aisha Khan,Data,Medium,2026-05-17,2026-06-04,
NOVA-2086,Hardening: add category facet counts to search response,Story,EPIC-103,S06,5,Done,Marcus Webb,Backend,Medium,2026-05-09,2026-06-06,
NOVA-2087,Hardening: build zero-results page with spelling suggestions,Story,EPIC-103,S06,3,Done,Marcus Webb,Backend,High,2026-05-17,2026-06-05,NOVA-2072
NOVA-2088,Fix stale cart badge count after order completion,Bug,EPIC-104,S06,3,Done,Tom Nguyen,QA,Medium,2026-05-04,2026-06-05,
NOVA-2089,Fix crash-report symbolication for the React Native layer,Bug,EPIC-104,S06,2,Done,Devon Park,Frontend,Critical,2026-05-10,2026-05-29,
NOVA-2090,Fix keyboard covering promo input on small screens,Bug,EPIC-104,S06,3,Done,Tom Nguyen,QA,High,2026-05-22,2026-06-02,
NOVA-2091,Fix duplicate push notifications on token refresh,Bug,EPIC-104,S06,2,Done,Devon Park,Frontend,High,2026-05-17,2026-06-04,NOVA-2057
NOVA-2092,Hardening: reduce cold-start time by deferring analytics SDK init,Story,EPIC-104,S06,5,Done,Devon Park,Frontend,Medium,2026-05-17,2026-06-02,NOVA-2004
NOVA-2093,Hardening: define SLOs and error budgets for the top five user journeys,Task,EPIC-106,S06,3,Done,Lukas Braun,DevOps,Low,2026-05-06,2026-06-03,
NOVA-2094,Hardening: build unified service dashboard with golden signals,Story,EPIC-106,S06,5,Done,Tom Nguyen,QA,Low,2026-05-09,2026-06-06,
NOVA-2095,Hardening: cut log retention costs with tiered storage,Task,EPIC-106,S06,2,Done,Lukas Braun,DevOps,Low,2026-05-08,2026-06-03,
NOVA-2096,Implement checkout error recovery flow for failed payments,Story,EPIC-101,S07,8,Blocked,Elena Petrova,Frontend,Critical,2026-05-25,2026-06-21,NOVA-2030
NOVA-2097,Add feature flags for gradual checkout rollout,Task,EPIC-101,S07,2,Blocked,Elena Petrova,Frontend,Low,2026-05-21,2026-06-21,NOVA-2061
NOVA-2098,Fix webhook signature validation failing on rotated keys,Bug,EPIC-102,S07,2,Done,Priya Sharma,Backend,High,2026-05-28,2026-06-17,
NOVA-2099,Add payment audit trail with immutable event log,Story,EPIC-102,S07,5,Done,Marcus Webb,Backend,High,2026-05-24,2026-06-16,
NOVA-2100,Chaos-test gateway failover in staging,Task,EPIC-102,S07,3,Done,Marcus Webb,Backend,High,2026-05-29,2026-06-16,
NOVA-2101,Implement stored-credential framework flags for card networks,Story,EPIC-102,S07,5,Done,Priya Sharma,Backend,Medium,2026-05-31,2026-06-13,
NOVA-2102,Hardening: move product index rebuild to incremental updates,Story,EPIC-103,S07,8,Done,Marcus Webb,Backend,Medium,2026-06-01,2026-06-17,
NOVA-2103,Hardening: spike: embeddings-based recall for long-tail queries,Spike,EPIC-103,S07,2,Done,Tom Nguyen,QA,Low,2026-06-04,2026-06-20,
NOVA-2104,Hardening: implement image caching with LRU eviction on product lists,Story,EPIC-104,S07,5,Done,Tom Nguyen,QA,Medium,2026-06-02,2026-06-15,
NOVA-2105,Hardening: split app bundle and lazy-load rarely used screens,Task,EPIC-104,S07,3,Done,Devon Park,Frontend,Medium,2026-06-01,2026-06-19,
NOVA-2106,Hardening: virtualise long product lists to cut memory usage,Story,EPIC-104,S07,8,Done,Devon Park,Frontend,Medium,2026-05-30,2026-06-21,
NOVA-2144,Design and implement points ledger with idempotent accrual,Story,EPIC-105,S07,8,Done,Grace Okafor,Design,High,2026-05-22,2026-06-21,
NOVA-2108,Build tier calculation job with monthly re-evaluation,Story,EPIC-105,S07,5,In Progress,Elena Petrova,Frontend,High,2026-05-29,2026-06-21,
NOVA-2109,Implement points redemption at checkout,Story,EPIC-105,S07,5,Done,Grace Okafor,Design,High,2026-06-04,2026-06-15,
NOVA-2110,Add referral bonus flow with fraud guardrails,Story,EPIC-105,S07,3,Done,Grace Okafor,Design,High,2026-05-29,2026-06-15,
NOVA-2111,Build rewards catalogue page with tier-gated offers,Story,EPIC-105,S07,5,Done,Grace Okafor,Design,High,2026-05-27,2026-06-14,
NOVA-2112,Define loyalty events schema for the analytics pipeline,Task,EPIC-105,S07,2,Done,Marcus Webb,Backend,High,2026-05-29,2026-06-12,
NOVA-2113,Implement points expiry with 30-day warning notifications,Story,EPIC-105,S07,3,Done,Marcus Webb,Backend,High,2026-05-21,2026-06-14,
NOVA-2114,Add loyalty widget to the account dashboard,Story,EPIC-105,S07,5,In Progress,Marcus Webb,Backend,Medium,2026-05-30,2026-06-21,
NOVA-2115,Build mobile-optimised payment step layout,Story,EPIC-101,S08,5,Done,Elena Petrova,Frontend,Medium,2026-06-20,2026-06-26,
NOVA-2116,Fix promo banner overlapping sticky order summary on tablets,Bug,EPIC-101,S08,3,Blocked,Grace Okafor,Design,Medium,2026-06-04,2026-07-05,NOVA-2107
NOVA-2117,Wire new checkout flow to loyalty points redemption,Story,EPIC-101,S08,5,Blocked,Devon Park,Frontend,Medium,2026-06-12,2026-07-05,NOVA-2061
NOVA-2118,Update checkout E2E test suite for the new flow,Task,EPIC-101,S08,2,Done,Grace Okafor,Design,Critical,2026-06-17,2026-07-03,
NOVA-2119,Fix refund double-processing when webhook races the API response,Bug,EPIC-102,S08,3,Done,Tom Nguyen,QA,High,2026-06-18,2026-06-26,
NOVA-2120,Migrate settlement reports to the new gateway API,Story,EPIC-102,S08,8,Done,Marcus Webb,Backend,High,2026-06-03,2026-06-30,
NOVA-2121,Add dashboards for authorisation success rate by issuer,Task,EPIC-102,S08,2,Done,Priya Sharma,Backend,High,2026-06-06,2026-07-03,
NOVA-2122,Implement network tokenisation for saved cards,Story,EPIC-102,S08,5,Done,Tom Nguyen,QA,Low,2026-06-07,2026-07-01,
NOVA-2123,Hardening: implement idempotency keys for all charge-creation endpoints,Story,EPIC-102,S08,8,Done,Priya Sharma,Backend,High,2026-06-16,2026-06-26,
NOVA-2124,Hardening: spike: profile scroll jank on mid-tier Android devices,Spike,EPIC-104,S08,2,Done,Tom Nguyen,QA,Medium,2026-06-13,2026-07-03,
NOVA-2125,Hardening: move cart sync to background fetch with conflict resolution,Story,EPIC-104,S08,5,Done,Elena Petrova,Frontend,Low,2026-06-18,2026-06-27,
NOVA-2126,Hardening: add startup-time and frame-drop metrics to telemetry,Task,EPIC-104,S08,3,Done,Elena Petrova,Frontend,Medium,2026-06-09,2026-07-03,
NOVA-2127,Hardening: implement offline browsing for recently viewed products,Story,EPIC-104,S08,5,Done,Elena Petrova,Frontend,Medium,2026-06-19,2026-07-05,
NOVA-2128,Spike: partner-brand rewards integration feasibility,Spike,EPIC-105,S08,2,Done,Grace Okafor,Design,Low,2026-06-01,2026-06-26,
NOVA-2129,Load-test the accrual pipeline at flash-sale traffic,Task,EPIC-105,S08,3,Done,Grace Okafor,Design,High,2026-06-17,2026-06-28,
NOVA-2130,Fix points accrual double-count on split payments,Bug,EPIC-105,S08,3,Done,Grace Okafor,Design,High,2026-06-03,2026-06-30,
NOVA-2131,Implement birthday bonus and anniversary rewards,Story,EPIC-105,S08,5,Done,Grace Okafor,Design,High,2026-06-19,2026-06-29,
NOVA-2132,Hardening: design new one-page checkout flow wireframes,Story,EPIC-101,S09,5,Blocked,Aisha Khan,Data,Critical,2026-07-02,2026-07-15,NOVA-2107
NOVA-2133,Hardening: implement address form with inline validation and autocomplete,Story,EPIC-101,S09,8,Blocked,Elena Petrova,Frontend,High,2026-06-18,2026-07-15,NOVA-2107
NOVA-2134,Hardening: build order summary sidebar with live tax and shipping estimates,Story,EPIC-101,S09,5,Blocked,Devon Park,Frontend,Medium,2026-06-22,2026-07-15,NOVA-2049
NOVA-2135,Hardening: add automatic retry with backoff for gateway timeouts,Story,EPIC-102,S09,5,Blocked,Tom Nguyen,QA,Low,2026-06-16,2026-07-15,NOVA-2107
NOVA-2136,Fix duplicate charge on gateway timeout retry (recurrence),Bug,EPIC-102,S09,5,Done,Lukas Braun,DevOps,High,2026-06-16,2026-07-15,
NOVA-2137,Hardening: implement 3DS2 challenge flow for EU cards,Story,EPIC-102,S09,8,Done,Priya Sharma,Backend,High,2026-06-16,2026-07-10,NOVA-2126
NOVA-2138,Hardening: add structured logging to the payment orchestration service,Task,EPIC-102,S09,3,In Progress,Lukas Braun,DevOps,High,2026-06-19,2026-07-15,
NOVA-2139,Hardening: build webhook reconciliation job for missed payment events,Story,EPIC-102,S09,5,In Progress,Grace Okafor,Design,Medium,2026-06-23,2026-07-15,
NOVA-2140,Hardening: compress API payloads with brotli on mobile endpoints,Story,EPIC-104,S09,3,In Progress,Tom Nguyen,QA,Medium,2026-06-21,2026-07-15,
NOVA-2141,Hardening: adopt incremental rendering for the home feed,Story,EPIC-104,S09,5,In Progress,Aisha Khan,Data,Medium,2026-06-21,2026-07-15,
NOVA-2142,Hardening: design and implement points ledger with idempotent accrual,Story,EPIC-105,S09,8,In Progress,Marcus Webb,Backend,High,2026-06-26,2026-07-15,
NOVA-2143,Hardening: build tier calculation job with monthly re-evaluation,Story,EPIC-105,S09,5,Done,Devon Park,Frontend,High,2026-06-17,2026-07-12,
NOVA-2107,Migrate to payment gateway SDK v3,Story,EPIC-102,S09,8,In Progress,Priya Sharma,Backend,Critical,2026-06-26,2026-07-15,
